message,label
"Aplikasi yang menjadi andalan untuk transaksi atau menabung,tapi sayang juga sih app ini sesekali sulit dioperasikan yaitu ketika koneksi yang dipakai lagi buruk/jaringan jelek.Untuk yang baru mendaftar bisa menggunakan ( 96L2VP ) untuk mendapatkan bonus tambahan koin emas ya,sejauh ini menggunakan aplikasi ini nyaris tanpa kendala sama sekali ya.terbaik ya aplikasi ini karena memang sangat memuaskan banget ya.",No
bintang 2 aja. karna kurang memuaskan. gak ada fitur PAS nya. klo memuaskan nanti baru di tambah lagi bintang nya 5,No
"Buruk, tiap mau unlink tiba-tiba error, agak takut dengan permintaan input data pribadi yang terlalu banyak",No
"proses lama,muter muter terus aplikasi,server jelek.",No
"Aplikasinya bagus. Tapi masih ada kekurangan yang harus di tingkatkan lagi, contohnya masih belum bisa top up gopay, shoppe, dana, isi pulsa dll. Semoga secepatnya ditingkatkan lagi seperti aplikasi Seabank.",No
"Customer service nya jelek banget, gua minta tolong buat bantuin kendala akun dia malah yapping gajelas, udah akun saya masih gabisa dipake, pulsa saya juga habis buat dengerin yapping dia",Yes
karna jaringan untuk tf kode pinnya susah kali diapakan jadi terakhir saya hapus dan terus mau masuk lagi nomor yang kemaren daftar sudah tidak aktif lagi untuk ottp masuk LAgi ke akun superbank saya soalnya saldo didalam saya ada 150ribuan posisi saya dimedan terus saya hubungi csnya ribet dibola2 pertanyan sampai saya keluar untuk beli pulsa 60 ribu tpi belom kelar juga itu rekening bermasalah saya 😠😠😠😠 kapokkk pakai superbankkk... bank paling buruk pelayanan csnya pertanyaannya berbelit2,Yes
"Sangat sangat jelek, Saya ganti nomor ovo karna sudah tidak aktif tapi saldo sudah masuk di ovo nabung dan tidak bisa di gunakan untuk transaksi ! Di ovo bisa di ganti nomornya pake verifikasi email , Tapi di ovo nabung (Superbank) harus verifikasi pake nomor lama , pdhal nomor tersebut sudah tidak aktif , parah Saldo Hangus , Dicuri Sama Superbank bikin ribet aja pake segala Collab sama ovo ! Superbank Pencuri !",No
"jelek sekali, saya tf 99rb ke supar bank buat bayar grabfood senilai 53 rb, tetapi setelah di potong saldo syaa sisa 400 perak pdhal saya cuman beli 1 kali aja senila 53 rb, aneh lahh, komplain ke customer service nya malah muter2 aja jawabannya, ga nemu penyelesaiannya",Yes
"bagus sih, suka pake superbank, tampilan nya keren tapi simple,menarik lagi,mudah dimengerti cuman kekurangan nya ga bisa top up ke dompet digital lainnya, ga bisa top up ovo,dana,dll di superbank. pembayran qris juga gak bisa menampilkan qris, cuma bisa scan qris aja. tapi aku suka dan seneng pake superbank, semoga next update ditambahin fitur top up ke dompet digital",No
"boleh nih tambahkan support untuk topup emoney, soalnya kurang itu",No
"aplikasi sangat jelek lambat,, terus ngembaliin dana aja harus dicicil,, padahal nabungnya enggak dicicil dasar aplikasi bangke ,, kalo gak siap gak usah maksain Bikin Bank ya Om",No
"CS kurang respon, mengganti pin pun gak di proses",Yes
Lebih bagus aplikasi versi 19. Sekarang tidak bisa login gara gara aksebilitas di handphone nyala. Kalau mau login harus dimatikan dulu. Sementara bank bank lain aman aja. Aneh emang aplikasinya membuat berkurang kepercayaan.,No
"Sangat buruk sekali pelayanan nya, sebagai nasabah superbank",Yes
"apk gajelas, niatnya mau nabung 70Úri gaji, udh daftar 6x, tp ""KAMU PERLU ULANGI PENDAFTARAN"" sangat buruk",No
Aplikasi bank yang paling buruk sedunia. Mempersulit nasabahnya ketika klarifikasi.,No
aplikasi buruk yg aku knal penftrana udh lbih dari 10 x g bisa trus dgn sangat benci aku hpus,No
"aplikasi bank terburuk sepanjang sejarah, Verifikasi saja bertele tele.",Yes
"pelayanan kurang,",Yes
ktp kurang jelas padaha sudah difoto sejelas mungkin yang matanya minus aja pasti jelas liat foto nya,No
"Salah satu bank digital terbaik dan paling lancar digunakan ya,dari segi tampilan juga tidak kalah keren dibandingkan apk lain yang serupa dengannya, menurut aku sih apk nya sudah sangat baik,cukup ditambah kan beberapa fitur pada menu menunya seperti 360 UTC untuk mempermudah menggunakan apk nya saat jaringan lagi kurang stabil ya,selebihnya sudah sangat komplit dan nyaman saat menggunakan apk ini bertransisi ya kawan kawan.",No
"Ini mobile bankingnya mantulll : 1. Cepet dan ringan banget dibukanya. 2. Mudah dipahami, ada 3 fitur di halaman depan tambah uang, transfer dan qris. 3. Bunga tabungannya gede sob 5%, ada fitur celengan juga bunganya 10% Mudah2an terus konsisten ya dan diperbanyak lagi promo2nya biar ga berkurang bintang dan gak bikin saya pindah lain hati (dana) hehe..",No
"buat nabung sih oke banget karena memang fungsi utamanya buat nabung ya, udah pakai mulai tahun lalu dan masih bisa dibilang puas sama update-an terbarunya. tapi sinkronisasi sama grab jelek banget. beberapa kali transaksi gagal karena gabisa connect ke superbank, padahal dari awal udah linked. katanya device incompatibility. entahlah. tapi balik lagi sih ke fungsi utamanya yaitu tabungan. plusnya, aplikasinya cepat dibuka, promoannya juga makin meningkat. jadi bakal kasih bintang 3 dulu.",No
"Susah ya mau daftar padahal nomor seusai sama aplikasi ovo dan grab gagal terus , keterangan nya ada data yang kurang padahal sudah saya lengkapi semua",No
"BURUKK, tolong diperbaiki lagi dong, masa tiba tiba harus daftar ulang dan udah di coba berkali kali tetep data ga sesuai, mana uang yg ada di apk tidak bisa di tf kemana mana, udh dihubungi call center tpi tidak ada jawaban, halaman gagal terus terusan, sehari cuma bisa nyoba sekali, udh bbrp kali di coba, sampe harus apk dlu, trus didiemin bbrp hari, didownload lagi tpi setelah proses daftar ulang ttp ga bisa, katanya data ga sesuai, pdhl sudah benar, mohon dibantu ya admin, lmyn uangny disitu",Yes
Bintang 1 karena gonta-ganti icon dekoratif mulu. Jadi jelek. Padahal cuma app banking tapi norak banget.,No
"Pelayanan sampah, kurang mengerti bahasa indonesia, lama balesnya, masalah tidak selesai",Yes
"Tq superbank, telah menyediakan E-statement or laporan keuangan yg cukup detal seperti buku/koran bank. Walaupun masih terdapat kekurangan krn keterbatasan pengembangan, but its oke. Smoga kedepan bisa lebih baik seperti menyediakan pembayaran bpjs, dll. Klo shell udh oke",No
"	mau masuk susah, ga bisa akses nih... jelek...",No
"aplikasi buruk, kalau ada yang gak lengkap kenapa dilanjutkan pendaftaran. tolol",No
"Bagus sekali Superbank memiliki kelebihan seperti bunga tinggi, fitur celengan, dan integrasi dengan ekosistem Emtek dan Grab, namun juga memiliki kekurangan seperti belum adanya QRIS, kartu debit, dan pembayaran bunga harian.",No
"jelek respon nya, ada problem error seminggu masih belum beres. kapok",Yes
"Bank digital di era masa kini yang mampu menyajikan berbagai manfaat nya,sangat simpel dan mudah dipakai,terbaik ya aplikasi ini dengan tingkat keamanan yang sangat baik,aplikasi dilengkapi dengan berbagai fitur fitur penunjang ya jadi sangat gampang mengoperasikan aplikasi yang satu ini,menurut aku sih aplikasi ini sudah sangat bagus hanya tinggal ditambahkan beberpa menu pelengkap saja seperti 360 UTC untuk memudahkan menggunakan Aplikasi nya saat jaringan lagi kurang stabil ya.",No
mapsnya kurang akurat,No
"Ada masalah lambat respon, jelek sekali pelayanan nya",Yes
kurang pas,No
jelek banget,No
"Aplikasi nya bagus banget buat pinjaman. Jika bayar lebih awal, bisa dapat potongan untuk pembayaran berikut nya. Kekurangan nya satu aja sih, limit nya kurang besar.",No
jelek aplikasi nya udh selfie malah gagal terus aneh padahal udh bener,No
"payah ah berulang² daftar pasti maaf ada data kamu yang kurang , kalau kurang pasti gak bisa di lanjut ini justru terus lanjut sampai beres tapi begitu beres pasti maaf ada data kamu yang tidak lengkap.....",No
"APLIKASII BOBROK, Customer service tidak ramah, APLIKASI NYA GA AMAN!!!!, sering terjadi transfer gaib ke rekening bodong, KURANG MENGAMANKAN DATA NASABAH, -[{$ENCRYPTED-DATA$}] NI APLIKASII",Yes
"bank brengsek ini superbank, punya hutang 1 juta baru di bayar 3 kali trs hp ku hilang, nunggak 3 kali karena bingung mau bayar kemana, giliran udh punya hp lg trs hutang udh di bayar lunas, nama gw tetap jelek di bank lain, anjink",No
"apk jelek bgt ini woy .mau login gagal terus, gangguan terus .dahtu pulak tiap mau buka apk nya mesti verifikasi wajah mulu dah padahal udah login",No
"Baru kali ini saya sangat kecewa dengan aplikasi bank digital.!!! Superbank BURUK, tiba2 aplikasi tidak bisa login. keterangan HP bermasalah, bukan HP yg bermasalah tapi APLIKASI SUPERBANK yg bermasalah. setelah sekian lama keluar juga buruknya SISTEM APLIKASI SUPERBANK. Saya akan kembalikan sistem pembayaran ke bank yg lebih kredibel.",No
"	ini aplikasi ngapain dah harus verifikasi muka segala kaya ojol, gak usah dibikin ribet mending klo hp nya bagus kamera depan nya klo jelek mana bisa, dan juga buat verifikasi muka nya susah gak bisa bisa, saya mau narik uang saya jadi gak bisa!",No
"Aku sudah coba pakai Superbank selama beberapa minggu, dan overall cukup puas! 👍 ✅ Kelebihan: Bunga tabungan dan deposito tinggi (lumayan banget buat nabung jangka pendek maupun panjang!) Bebas biaya admin dan bisa transfer gratis ke bank lain Tersambung dengan Grab, jadi kadang ada promo menarik kesimpulan: Cocok buat yang nyari bank digital dengan bunga besar dan bebas biaya. Tapi masih ada ruang perbaikan di sisi teknis dan pelayanan pelanggan.",Yes
Aplikasi digital banking yang satu ini benar-benar memudahkan! Nabung untung banget karena bebas biaya admin dan sering ada promo menarik. Proses daftar juga cepat dan simpel!,No
aplikasi ini bagus untuk menabung dan aplikasi ini juga bebas biaya admin,No
simpan tabungan dengan amanah.dan bisa di download langsung di playstore tanpa biaya admin,No
Sangat puas pakai SuperBank karena aplikasinya Aman Banget dan bebas biaya admin. Cocok buat anak muda yang pengen nabung praktis.,No
"	Aplikasinya sangat bagus dan mudah digunakan. Proses registrasi cepat, tampilan simpel, dan fitur-fitur seperti Celengan dengan bunga tinggi sangat membantu untuk nabung. Bebas biaya admin dan transfer juga jadi nilai plus! Semoga ke depannya bisa tambah fitur QRIS dan setor tunai di minimarket. Terima kasih Superbank! 👍",No
"	Menabung dengan aplikasi ini sangat menguntungkan dan aman loh, ini cocok bangett buat saya, sangat membantu pengelolaan keuangan digital menjadi lebih mudah dan terpercaya. Kalian juga dapat bebas biaya admin gratis transfer sampai 200x, keren banget kan.",No
"	Menabung dengan aplikasi ini sangat menguntungkan dan aman, ini sangat memudahkan saya dalam membuat pengelolaan keuangan digital menjadi lebih mudah dan terpercaya, dan juga dapat bebas biaya admin gratis 200× transfer GOKILL",No
di tlpn cs suruh ganti rating nya biar bagus 🗿🗿,No
Jelek,No
"	Biaya admin transfer ke bank lain terlalu mahal, yakin bisa saingin bank jago, dll ? Emang pinter, kalo komplain harus telfon ke contact center, orang pada males kurang kerjaan, dan sebagian juga pada gak punya pulsa",No
"	untung banget bisa nabung di aplikasi superbank. selain gratis transfer berapapun,superbank juga bebas biaya admin. aplikasi digital banking yang aman dan sangat nyaman digunakan. terimakasih superbank.",No
